Date,IncData
20-May,2
21-May,1
22-May,0
23-May,0
24-May,0
25-May,0
26-May,2
27-May,0
28-May,2
29-May,6
30-May,2
31-May,3
1-Jun,7
2-Jun,5
3-Jun,0
4-Jun,6
5-Jun,6
6-Jun,22
7-Jun,23
8-Jun,8
9-Jun,13
10-Jun,14
11-Jun,4
12-Jun,12
13-Jun,7
14-Jun,5
15-Jun,4
16-Jun,8
17-Jun,2
18-Jun,2
19-Jun,0
20-Jun,3
21-Jun,3
22-Jun,3
23-Jun,4
24-Jun,1
25-Jun,1
26-Jun,1
